Time, tval
1516836250237, ,#213+0.000000E+00
1516836250341, ,#213+0.000000E+00
1516836250445, ,#213+0.000000E+00
1516836250542, ,#213+0.000000E+00
1516836250641, ,#213+0.000000E+00
1516836250741, ,#213+0.000000E+00
1516836250837, ,#213+0.000000E+00
1516836250941, ,#213+0.000000E+00
1516836251036, ,#213+0.000000E+00
1516836251142, ,#213+0.000000E+00
1516836251243, ,#213+0.000000E+00
1516836251341, ,#213+0.000000E+00
1516836251715, ,#239+0.000000E+00+0.000000E+00+0.000000E+00
1516836251741, ,#213+0.000000E+00
1516836251843, ,#213+0.000000E+00
1516836251941, ,#213+0.000000E+00
1516836252042, ,#213+0.000000E+00
1516836252142, ,#213+0.000000E+00
1516836252256, ,#213+0.000000E+00
1516836252340, ,#213+0.000000E+00
1516836252442, ,#213+0.000000E+00
1516836252542, ,#213+0.000000E+00
1516836252641, ,#213+0.000000E+00
1516836252741, ,#213+0.000000E+00
1516836253116, ,#239+0.000000E+00+0.000000E+00+0.000000E+00
1516836253140, ,#213+0.000000E+00
1516836253241, ,#213+0.000000E+00
1516836253341, ,#213+0.000000E+00
1516836253461, ,#213+0.000000E+00
1516836253542, ,#213+0.000000E+00
1516836253640, ,#213+0.000000E+00
1516836253741, ,#213+0.000000E+00
1516836253841, ,#213+0.000000E+00
1516836253941, ,#213+0.000000E+00
1516836254045, ,#213+0.000000E+00
1516836254142, ,#213+0.000000E+00
1516836254515, ,#239+0.000000E+00+0.000000E+00+0.000000E+00
1516836254540, ,#213+0.000000E+00
1516836254636, ,#213+0.000000E+00
1516836254742, ,#213+0.000000E+00
1516836254843, ,#213+0.000000E+00
1516836254936, ,#213+0.000000E+00
1516836255041, ,#213+0.000000E+00
1516836255142, ,#213+0.000000E+00
1516836255244, ,#213+0.000000E+00
1516836255340, ,#213+0.000000E+00
1516836255442, ,#213+0.000000E+00
1516836255541, ,#213+0.000000E+00
1516836255915, ,#239+0.000000E+00+0.000000E+00+0.000000E+00
1516836255941, ,#213+0.000000E+00
1516836256041, ,#213+0.000000E+00
1516836256142, ,#213+0.000000E+00
1516836256241, ,#213+0.000000E+00
1516836256341, ,#213+0.000000E+00
1516836256437, ,#213+0.000000E+00
1516836256541, ,#213+0.000000E+00
1516836256641, ,#213+0.000000E+00
1516836256736, ,#213+0.000000E+00
1516836256842, ,#213+0.000000E+00
1516836256941, ,#213+0.000000E+00
1516836257316, ,#239+0.000000E+00+0.000000E+00+0.000000E+00
1516836257342, ,#213+0.000000E+00
1516836257442, ,#213+0.000000E+00
1516836257541, ,#213+0.000000E+00
1516836257645, ,#213+0.000000E+00
1516836257742, ,#213+0.000000E+00
1516836257840, ,#213+0.000000E+00
1516836257941, ,#213+0.000000E+00
1516836258042, ,#213+0.000000E+00
1516836258141, ,#213+0.000000E+00
1516836258251, ,#213+0.000000E+00
1516836258342, ,#213+0.000000E+00
1516836258716, ,#239+0.000000E+00+0.000000E+00+0.000000E+00
1516836258742, ,#213+0.000000E+00
1516836258844, ,#213+0.000000E+00
1516836258941, ,#213+0.000000E+00
1516836259042, ,#213+0.000000E+00
1516836259142, ,#213+0.000000E+00
1516836259241, ,#213+0.000000E+00
1516836259342, ,#213+0.000000E+00
1516836259455, ,#213+0.000000E+00
1516836259541, ,#213+0.000000E+00
1516836259641, ,#213+0.000000E+00
1516836259742, ,#213+0.000000E+00
1516836260114, ,#239+0.000000E+00+0.000000E+00+0.000000E+00
1516836260141, ,#213+0.000000E+00
1516836260242, ,#213+0.000000E+00
1516836260343, ,#213+0.000000E+00
1516836260440, ,#213+0.000000E+00
1516836260541, ,#213+0.000000E+00
1516836260660, ,#213+0.000000E+00
1516836260740, ,#213+0.000000E+00
1516836260842, ,#213+0.000000E+00
1516836260946, ,#213+0.000000E+00
1516836261041, ,#213+0.000000E+00
1516836261140, ,#213+0.000000E+00
1516836261514, ,#239+0.000000E+00+0.000000E+00+0.000000E+00
