# D3325 Calibration File 05/29/17 15:18:29
# Temperature Voltage
# (K) (Volts)
# 
# 
2.33068e+00 1.62431e+00
2.39717e+00 1.62767e+00
2.79997e+00 1.61724e+00
3.20092e+00 1.60655e+00
3.70393e+00 1.59236e+00
4.21234e+00 1.57641e+00
5.00762e+00 1.54909e+00
6.04671e+00 1.51081e+00
7.06959e+00 1.47268e+00
8.10502e+00 1.43676e+00
9.11422e+00 1.40545e+00
1.01618e+01 1.37638e+00
1.11951e+01 1.35066e+00
1.22246e+01 1.32773e+00
1.32294e+01 1.30685e+00
1.42123e+01 1.28883e+00
1.51931e+01 1.27142e+00
1.62213e+01 1.25503e+00
1.71913e+01 1.23996e+00
1.81525e+01 1.22473e+00
1.91549e+01 1.20965e+00
2.00651e+01 1.19581e+00
2.10809e+01 1.17993e+00
2.18349e+01 1.16616e+00
2.26644e+01 1.14831e+00
2.32457e+01 1.13610e+00
2.38472e+01 1.12755e+00
2.44613e+01 1.12242e+00
2.51143e+01 1.11897e+00
2.57329e+01 1.11651e+00
2.65952e+01 1.11398e+00
2.73939e+01 1.11187e+00
2.82507e+01 1.10993e+00
2.92696e+01 1.10776e+00
3.02776e+01 1.10579e+00
3.23377e+01 1.10190e+00
3.53614e+01 1.09666e+00
3.83773e+01 1.09169e+00
4.23974e+01 1.08525e+00
4.63995e+01 1.07888e+00
5.23857e+01 1.06927e+00
5.83629e+01 1.05956e+00
6.43450e+01 1.04969e+00
7.03313e+01 1.03963e+00
7.63167e+01 1.02939e+00
8.23100e+01 1.01894e+00
8.82941e+01 1.00832e+00
9.42825e+01 9.97503e-01
1.00277e+02 9.86492e-01
1.10258e+02 9.67767e-01
1.25257e+02 9.38820e-01
1.40243e+02 9.09034e-01
1.55218e+02 8.78543e-01
1.70210e+02 8.47410e-01
1.85205e+02 8.15713e-01
2.00195e+02 7.83564e-01
2.15185e+02 7.50978e-01
2.30180e+02 7.18007e-01
2.45172e+02 6.84660e-01
2.60173e+02 6.50974e-01
2.75171e+02 6.16996e-01
2.95000e+02 5.68000e-01
