Temperature             Voltage
(Kelvin)                (Volts)

1.20072593615371E+00   1.63546
1.29979940486664E+00   1.63440
1.40168149866182E+00   1.63316
1.69984412488253E+00   1.62882
1.99889467686390E+00   1.62351
2.39890584718993E+00   1.61522
2.80123527924436E+00   1.60602
3.20068265038568E+00   1.59640
3.70344675767215E+00   1.58349
4.20818955840714E+00   1.56899
5.01161753955622E+00   1.54288
6.03510608037568E+00   1.50734
7.06106158849212E+00   1.47137
8.10241706965372E+00   1.43669
9.12636439825890E+00   1.40565
1.01618640398965E+01   1.37741
1.11936002168394E+01   1.35192
1.22155448459621E+01   1.32889
1.32305741363345E+01   1.30788
1.42313796107856E+01   1.28885
1.52231207000223E+01   1.27133
1.62088878571326E+01   1.25491
1.71833811242665E+01   1.23947
1.81565913377063E+01   1.22454
1.91260250098210E+01   1.20986
2.00991037016349E+01   1.19494
2.10701499548391E+01   1.17912
2.18525170422406E+01   1.16446
2.26455479941292E+01   1.14695
2.32459887362833E+01   1.13493
2.38575914424681E+01   1.12674
2.44796667812909E+01   1.12186
2.51109047425184E+01   1.11867
2.57379485694423E+01   1.11630
2.65745178218462E+01   1.11377
2.74126426059600E+01   1.11162
2.82374382408833E+01   1.10973
2.92630792874547E+01   1.10757
3.02906857122952E+01   1.10553
3.23319579462352E+01   1.10173
3.53751461630687E+01   1.09643
3.83839115560892E+01   1.09146
4.24055657512023E+01   1.08502
4.63982318588508E+01   1.07866
5.23857106491182E+01   1.06905
5.83634947490281E+01   1.05932
6.43438595558873E+01   1.04943
7.03325222277739E+01   1.03933
7.63160898580025E+01   1.02905
8.23094486929579E+01   1.01855
8.82940864592460E+01   1.00787
9.42830140115426E+01   0.99699
1.00276676696167E+02   0.98592
1.10259809882630E+02   0.96708
1.25252760123876E+02   0.93797
1.40242936903767E+02   0.90801
1.55221904638193E+02   0.87734
1.70210840402983E+02   0.84603
1.85208047145360E+02   0.81416
2.00195930034403E+02   0.78183
2.15187269509104E+02   0.74907
2.30182546408592E+02   0.71592
2.45173192641766E+02   0.68241
2.60173471051126E+02   0.64856
2.75169921309191E+02   0.61442
2.90160958282897E+02   0.58001
3.05157967616931E+02   0.54536
3.15152630859139E+02   0.52214
3.20152562471590E+02   0.51050
3.26144478069214E+02   0.49653
3.30151456110244E+02   0.48715
